name,part_url,price,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio
Asus ROG Swift OLED PG27AQDP,https://pcpartpicker.com/product/xY4Zxr/asus-rog-swift-oled-pg27aqdp-265-2560-x-1440-480-hz-monitor-90lm0a20-b01ab0,813,26.5,"2560,1440",480,0.03,OLED,16:9
Acer Acer Nitro XV272U W2bmiiprx,https://pcpartpicker.com/product/Lv4Zxr/acer-acer-nitro-xv272u-w2bmiiprx-270-2560-x-1440-240-hz-monitor-umhx2aa201,199.99,27,"2560,1440",240,1,IPS,16:9
Eizo ColorEdge ‎CG2700X,https://pcpartpicker.com/product/VcsV3C/eizo-coloredge-cg2700x-270-3840-x-2160-60-hz-monitor-cg2700x,29094,27,"3840,2160",60,13,IPS,16:9
Asus TUF Gaming VG27AQ3A,https://pcpartpicker.com/product/CpNYcf/asus-tuf-gaming-vg27aq3a-270-2560-x-1440-180-hz-monitor-vg27aq3a,303.06,27,"2560,1440",180,1,IPS,16:9
Samsung Odyssey OLED G80SD,https://pcpartpicker.com/product/2xpQzy/samsung-odyssey-oled-g80sd-320-3840-x-2160-240-hz-monitor-ls32dg802snxza,1299.99,32,"3840,2160",240,0.03,OLED,16:9
Samsung Odyssey OLED G93SC,https://pcpartpicker.com/product/tRHqqs/samsung-odyssey-oled-g93sc-490-5120-x-1440-240-hz-curved-monitor-ls49cg932snxza,23329.99,49,"5120,1440",240,0.03,QD-OLED,32:9
MSI G242L E14,https://pcpartpicker.com/product/2HpD4D/msi-g242l-e14-238-1920-x-1080-144-hz-monitor-g242l-e14,94.99,23.8,"1920,1080",144,,IPS,16:9
Asus ROG Strix OLED XG27ACDNG,https://pcpartpicker.com/product/ngLp99/asus-rog-strix-oled-xg27acdng-265-2560-x-1440-360-hz-monitor-xg27acdng,762.99,26.5,"2560,1440",360,0.03,QD-OLED,16:9
BenQ XL2586X+,https://pcpartpicker.com/product/h68Pxr/benq-xl2586x-241-1920-x-1080-600-hz-monitor-xl2586x,1034.99,24.1,"1920,1080",600,,TN,16:9
Asus ROG Strix XG27AQDMG,https://pcpartpicker.com/product/mMsV3C/asus-rog-strix-xg27aqdmg-265-2560-x-1440-240-hz-monitor-xg27aqdmg,649,26.5,"2560,1440",240,0.03,WOLED,16:9
Asus ROG Swift OLED PG27UCDM,https://pcpartpicker.com/product/BFG2FT/asus-rog-swift-oled-pg27ucdm-265-3840-x-2160-240-hz-monitor-90lm0b30-b019b1,19599,26.5,"3840,2160",240,0.03,QD-OLED,16:9
Samsung Odyssey G55C,https://pcpartpicker.com/product/q4xxFT/samsung-odyssey-g55c-320-2560-x-1440-165-hz-curved-monitor-ls32cg552enxza,295.99,32,"2560,1440",165,1,VA,16:9
LG UltraGear OLED 27GX790A-B,https://pcpartpicker.com/product/Bdbypg/lg-ultragear-oled-27gx790a-b-270-2560-x-1440-480-hz-monitor-27gx790a-b,676.99,27,"2560,1440",480,0.03,OLED,16:9
Samsung C24F390,https://pcpartpicker.com/product/YsL7YJ/samsung-monitor-c24f390,124.99,24,"1920,1080",60,4,VA,16:9
MSI PRO MP225,https://pcpartpicker.com/product/ncBFf7/msi-pro-mp225-215-1920-x-1080-100-hz-monitor-pro-mp225,78.99,21.5,"1920,1080",100,4,IPS,16:9
LG UltraGear OLED 45GX950A-B,https://pcpartpicker.com/product/KMCCmG/lg-ultragear-oled-45gx950a-b-445-5120-x-2160-165-hz-curved-monitor-45gx950a-b,9276.99,44.5,"5120,2160",165,0.03,OLED,64:27
LG 65EP5G-B,https://pcpartpicker.com/product/yMytt6/lg-65ep5g-b-650-3840x2160-120-hz-monitor-65ep5g-b,,65,"3840,2160",120,0.1,OLED,16:9
MSI MAG 27CQ6F,https://pcpartpicker.com/product/t3Jp99/msi-mag-27cq6f-270-2560-x-1440-180-hz-curved-monitor-27cq6f,179.99,27,"2560,1440",180,0.5,VA,16:9
Dell Alienware AW3225QF,https://pcpartpicker.com/product/RwXV3C/dell-alienware-aw3225qf-316-3840-x-2160-240-hz-curved-monitor-aw3225qf,999.99,31.6,"3840,2160",240,0.03,QD-OLED,16:9
Samsung Odyssey OLED G60SD,https://pcpartpicker.com/product/98pQzy/samsung-odyssey-oled-g60sd-270-2560-x-1440-360-hz-monitor-ls27dg602snxza,649.99,27,"2560,1440",360,0.03,QD-OLED,16:9
AOC Q27G3XMN,https://pcpartpicker.com/product/kJP8TW/aoc-q27g3xmn-270-2560-x-1440-180-hz-monitor-q27g3xmn,355.99,27,"2560,1440",180,1,VA Mini LED,16:9
MSI MAG 275F,https://pcpartpicker.com/product/J62j4D/msi-mag-275f-270-1920-x-1080-180-hz-monitor-mag-275f,136.99,27,"1920,1080",180,0.5,IPS,16:9
Samsung Odyssey OLED G60SF,https://pcpartpicker.com/product/99QwrH/samsung-odyssey-oled-g60sf-270-2560-x-1440-500-hz-monitor-ls27fg602snxza,982.99,27,"2560,1440",500,0.03,QD-OLED,16:9
Asus TUF Gaming VG249Q3R,https://pcpartpicker.com/product/rrWmP6/asus-tuf-gaming-vg249q3r-238-1920-x-1080-180-hz-monitor-vg249q3r,,23.8,"1920,1080",180,1,IPS,16:9
KTC H24F8,https://pcpartpicker.com/product/q49nTW/ktc-h24f8-238-1920-x-1080-180-hz-monitor-h24f8,106.97,23.8,"1920,1080",180,,IPS,16:9
LG UltraGear 34GS95QE-B,https://pcpartpicker.com/product/FFLdnQ/lg-ultragear-34gs95qe-b-340-3440-x-1440-240-hz-curved-monitor-34gs95qe-b,870.99,34,"3440,1440",240,0.03,OLED,21:9
Samsung Odyssey G4,https://pcpartpicker.com/product/tcwypg/samsung-odyssey-g4-270-1920x1080-240-hz-monitor-ls27bg402enxgo,361.99,27,"1920,1080",240,1,IPS,16:9
Dell Alienware AW3425DW,https://pcpartpicker.com/product/V92j4D/dell-alienware-aw3425dw-342-3440-x-1440-240-hz-curved-monitor-aw3425dw,814.99,34.2,"3440,1440",240,0.03,QD-OLED,21:9
Asus ProArt Display PA32DC,https://pcpartpicker.com/product/WCH7YJ/asus-proart-display-pa32dc-315-3840-x-2160-60-hz-monitor-90lm06n0-b01ib0,18099,31.5,"3840,2160",60,0.1,OLED,16:9
LG UltraGear 27GR83Q-B,https://pcpartpicker.com/product/6WBzK8/lg-ultragear-27gr83q-b-270-2560-x-1440-240-hz-monitor-27gr83q-b,333.99,27,"2560,1440",240,1,IPS,16:9
MSI MAG 274QRFW,https://pcpartpicker.com/product/HmZXsY/msi-mag-274qrfw-270-2560-x-1440-180-hz-monitor-mag-274qrfw,211.99,27,"2560,1440",180,1,IPS,16:9
Asus ROG Strix XG27ACS,https://pcpartpicker.com/product/mgWJ7P/asus-rog-strix-xg27acs-270-2560-x-1440-180-hz-monitor-xg27acs,277,27,"2560,1440",180,1,IPS,16:9
Asus ROG Swift OLED PG32UCDMR,https://pcpartpicker.com/product/bsVfrH/asus-rog-swift-oled-pg32ucdmr-315-3840-x-2160-240-hz-monitor-pg32ucdmr,17199.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
Acer Nitro XV1 XV271U M3bmiiprx,https://pcpartpicker.com/product/p8zXsY/acer-nitro-xv1-xv271u-m3bmiiprx-270-2560-x-1440-180-hz-monitor-umhx1aa301,169.99,27,"2560,1440",180,1,IPS,16:9
Asus ProArt Display PA32UCXR,https://pcpartpicker.com/product/BCWJ7P/asus-proart-display-pa32ucxr-320-3840-x-2160-60-hz-monitor-90lm03h0-b01kb0,56199,32,"3840,2160",60,5,IPS,16:9
Acer Predator X39,https://pcpartpicker.com/product/pGXMnQ/acer-predator-x39-390-3440-x-1440-240-hz-curved-monitor-umtxxaa001,1499.99,39,"3440,1440",240,0.01,OLED,21:9
MSI MPG 322URX QD-OLED,https://pcpartpicker.com/product/W29nTW/msi-mpg-322urx-qd-oled-320-3840-x-2160-240-hz-monitor-mpg-322urx-qd-oled,1107.99,32,"3840,2160",240,0.03,QD-OLED,16:9
AOC 24G4XE,https://pcpartpicker.com/product/6x3NnQ/aoc-24g4xe-240-1920-x-1080-180-hz-monitor-24g4xe,,24,"1920,1080",180,,IPS,16:9
ASRock Challenger CL27FFA,https://pcpartpicker.com/product/C3bypg/asrock-challenger-cl27ffa-270-1920-x-1080-120-hz-monitor-cl27ffa,77.99,27,"1920,1080",120,,IPS,16:9
AOC CU34G2XP/BK,https://pcpartpicker.com/product/N8wmP6/aoc-cu34g2xpbk-340-3440-x-1440-180-hz-curved-monitor-cu34g2xpbk,279.99,34,"3440,1440",180,1,VA,21:9
MSI PRO MP223 E2,https://pcpartpicker.com/product/GKnXsY/msi-pro-mp223-e2-214-1920-x-1080-100-hz-monitor-pro-mp223-e2,,21.4,"1920,1080",100,4,VA,16:9
Dell Alienware AW3423DWF,https://pcpartpicker.com/product/wywypg/dell-alienware-aw3423dwf-342-3440-x-1440-165-hz-curved-monitor-aw3423dwf,,34.2,"3440,1440",165,0.1,QD-OLED,21:9
LG 38GL950G-B,https://pcpartpicker.com/product/HCyqqs/lg-38gl950g-b-375-3840x1600-175-hz-monitor-38gl950g-b,,37.5,"3840,1600",175,,IPS,12:5
MSI PRO MP275Q,https://pcpartpicker.com/product/Jw26Mp/msi-pro-mp275q-270-2560-x-1440-100-hz-monitor-pro-mp275q,148.99,27,"2560,1440",100,4,IPS,16:9
Sceptre E248W-19203R,https://pcpartpicker.com/product/sgWfrH/sceptre-e248w-19203r-238-1920x1080-75-hz-monitor-e248w-19203r,106,23.8,"1920,1080",75,14,TN,16:9
Samsung Odyssey G50D,https://pcpartpicker.com/product/d4XV3C/samsung-odyssey-g50d-320-2560-x-1440-180-hz-monitor-ls32dg500euxen,423,32,"2560,1440",180,1,IPS,16:9
Asus TUF Gaming VG279QM,https://pcpartpicker.com/product/JgCFf7/asus-tuf-gaming-vg279qm-270-1920-x-1080-280-hz-monitor-vg279qm,249,27,"1920,1080",280,1,IPS,16:9
Dell Alienware AW2725DF,https://pcpartpicker.com/product/3NFmP6/dell-alienware-aw2725df-267-2560-x-1440-360-hz-monitor-aw2725df,792.99,26.7,"2560,1440",360,0.03,QD-OLED,16:9
Asus TUF Gaming VG279Q3A,https://pcpartpicker.com/product/RpzXsY/asus-tuf-gaming-vg279q3a-270-1920-x-1080-180-hz-monitor-90lm0990-b011b0,184,27,"1920,1080",180,1,IPS,16:9
Pixio PX248 Prime,https://pcpartpicker.com/product/bT6qqs/pixio-px248-prime-240-1920x1080-144-hz-monitor-px248p,111.99,24,"1920,1080",144,,IPS,16:9
Asus TUF Gaming VG249QL3A,https://pcpartpicker.com/product/NjKscf/asus-tuf-gaming-vg249ql3a-238-1920-x-1080-180-hz-monitor-tuf-gaming-vg249ql3a,137,23.8,"1920,1080",180,1,IPS,16:9
MSI MPG 341CQPX QD-OLED,https://pcpartpicker.com/product/zrNYcf/msi-mpg-341cqpx-qd-oled-340-3440-x-1440-240-hz-curved-monitor-mpg-341cqpx-qd-oled,838.99,34,"3440,1440",240,0.03,QD-OLED,21:9
Samsung Odyssey G50D,https://pcpartpicker.com/product/9xLdnQ/samsung-odyssey-g50d-270-2560-x-1440-180-hz-monitor-ls27dg500enxza,274.99,27,"2560,1440",180,1,IPS,16:9
ASRock PG27QFT1B,https://pcpartpicker.com/product/LfzXsY/asrock-pg27qft1b-270-2560-x-1440-180-hz-monitor-pg27qft1b,137.77,27,"2560,1440",180,,IPS,16:9
Asus ROG Swift OLED PG32UCDP,https://pcpartpicker.com/product/9mbRsY/asus-rog-swift-oled-pg32ucdp-315-3840-x-2160-240-hz-monitor-90lm0a50-b013b0,22888.99,31.5,"3840,2160",240,0.03,WOLED,16:9
AOC C27G2Z,https://pcpartpicker.com/product/GK4Zxr/aoc-c27g2z-270-1920-x-1080-240-hz-curved-monitor-c27g2z,291.9,27,"1920,1080",240,,VA,16:9
Asus XG27ACMEG-G Hatsune Miku Edition,https://pcpartpicker.com/product/4zsMnQ/asus-xg27acmeg-g-hatsune-miku-edition-270-2560-x-1440-260-hz-monitor-xg27acmeg-g,644,27,"2560,1440",260,1,IPS,16:9
Dell Alienware AW2724HF,https://pcpartpicker.com/product/h988TW/alienware-aw2724hf-270-1920-x-1080-360-hz-monitor-aw2724hfsap,229.99,27,"1920,1080",360,0.5,IPS,16:9
MSI MAG 274CXF,https://pcpartpicker.com/product/6YfV3C/msi-mag-274cxf-270-1920-x-1080-280-hz-curved-monitor-mag-274cxf,134.99,27,"1920,1080",280,0.5,VA,16:9
LG UltraGear OLED 27GS93QE-B,https://pcpartpicker.com/product/JtJBD3/lg-ultragear-oled-27gs93qe-b-265-2560-x-1440-240-hz-monitor-27gs93qe-b,573.99,26.5,"2560,1440",240,0.03,OLED,16:9
Samsung Odyssey Ark 2nd Gen.,https://pcpartpicker.com/product/9q7scf/samsung-odyssey-ark-2nd-gen-550-3840-x-2160-165-hz-curved-monitor-ls55cg970nnxgo,2377.19,55,"3840,2160",165,1,VA Mini LED,16:9
LG UltraGear 32GS95UV-W,https://pcpartpicker.com/product/HRkqqs/lg-ultragear-32gs95uv-w-315-3840-x-2160-240-hz-monitor-32gs95uv-w,6540.54,31.5,"3840,2160",240,0.03,OLED,16:9
Samsung Odyssey G5,https://pcpartpicker.com/product/pKcgXL/samsung-odyssey-g5-340-3440-x-1440-165-hz-curved-monitor-lc34g55twwpxen,,34,"3440,1440",165,,VA,21:9
RCA Evolution Premium,https://pcpartpicker.com/product/ZdyH99/rca-evolution-premium-270-2560-x-1440-240-hz-monitor-m27pg135f,199.99,27,"2560,1440",240,1,IPS,16:9
LG UltraGear 32GS95UE-B,https://pcpartpicker.com/product/q3GhP6/lg-ultragear-32gs95ue-b-315-3840-x-2160-240-hz-monitor-32gs95ue-b,4350.22,31.5,"3840,2160",240,0.03,OLED,16:9
MSI MAG 255XFV,https://pcpartpicker.com/product/LbsV3C/msi-mag-255xfv-245-1920-x-1080-250-hz-monitor-mag-255xfv,136.99,24.5,"1920,1080",250,0.5,VA,16:9
MSI PRO MP251 E2,https://pcpartpicker.com/product/Ztkqqs/msi-pro-mp251-e2-245-1920-x-1080-120-hz-monitor-pro-mp251-e2,109.99,24.5,"1920,1080",120,4,IPS,16:9
Asus ROG Swift OLED PG27AQDM,https://pcpartpicker.com/product/tTBzK8/asus-rog-swift-oled-pg27aqdm-265-2560-x-1440-240-hz-monitor-90lm08q0-b01ab0,879,26.5,"2560,1440",240,0.03,OLED,16:9
MSI MAG 272QP QD-OLED X50,https://pcpartpicker.com/product/79vscf/msi-mag-272qp-qd-oled-x50-265-2560-x-1440-500-hz-monitor-mag-272qp-qd-oled-x50,870,26.5,"2560,1440",500,0.03,QD-OLED,16:9
Samsung Odyssey OLED G8 G81SF,https://pcpartpicker.com/product/PvZWGX/samsung-odyssey-oled-g8-g81sf-270-3840-x-2160-240-hz-monitor-ls27fg810snxza,1063.84,27,"3840,2160",240,0.03,QD-OLED,16:9
Asus ROG Strix OLED XG27UCDMG,https://pcpartpicker.com/product/FW9nTW/asus-rog-strix-oled-xg27ucdmg-265-3840-x-2160-240-hz-monitor-90lm0b20-b01971,960.99,26.5,"3840,2160",240,0.03,QD-OLED,16:9
KOORUI G2421V,https://pcpartpicker.com/product/Hxtkcf/koorui-g2421v-238-2560-x-1440-180-hz-monitor-g2421v,149.99,23.8,"2560,1440",180,,IPS,16:9
Gigabyte GS27QA,https://pcpartpicker.com/product/NdV2FT/gigabyte-gs27qa-270-2560-x-1440-180-hz-monitor-gs27qa,364.01,27,"2560,1440",180,,IPS,16:9
Sony INZONE M10S,https://pcpartpicker.com/product/JKCZxr/sony-inzone-m10s-270-2560-x-1440-480-hz-monitor-sdm27q10s,23198,27,"2560,1440",480,0.03,OLED,16:9
LG 27GS95QE-B,https://pcpartpicker.com/product/8cKscf/lg-27gs95qe-b-270-2560-x-1440-240-hz-monitor-27gs95qe-b,761.99,27,"2560,1440",240,0.03,OLED,16:9
MSI MAG 271QP QD-OLED X24,https://pcpartpicker.com/product/qPYfrH/msi-mag-271qp-qd-oled-x24-265-2560-x-1440-240-hz-monitor-mag-271qp-qd-oled-x24,451.99,26.5,"2560,1440",240,0.03,QD-OLED,16:9
Asus TUF Gaming VG27AQM5A,https://pcpartpicker.com/product/Hftkcf/asus-tuf-gaming-vg27aqm5a-270-2560-x-1440-300-hz-monitor-vg27aqm5a,351,27,"2560,1440",300,1,IPS,16:9
Sceptre E255B-1658A,https://pcpartpicker.com/product/MWkj4D/sceptre-e255b-1658a-245-1920x1080-165-hz-monitor-e255b-1658a,109.98,24.5,"1920,1080",165,1,TN,16:9
MSI MPG 491CQPX QD-OLED,https://pcpartpicker.com/product/VryH99/msi-mpg-491cqpx-qd-oled-490-5120-x-1440-240-hz-curved-monitor-mpg-491cqpx-qd-oled,899.99,49,"5120,1440",240,0.03,QD-OLED,32:9
Asus TUF Gaming VG34VQL3A,https://pcpartpicker.com/product/GQsV3C/asus-tuf-gaming-vg34vql3a-340-3440-x-1440-180-hz-curved-monitor-vg34vql3a,371,34,"3440,1440",180,1,VA,21:9
MSI MAG 276CXF,https://pcpartpicker.com/product/qTFCmG/msi-mag-276cxf-270-1920-x-1080-280-hz-curved-monitor-mag-276cxf,134.99,27,"1920,1080",280,0.5,VA,16:9
MSI MPG 321CURX QD-OLED,https://pcpartpicker.com/product/fQdMnQ/msi-mpg-321curx-qd-oled-315-3840-x-2160-240-hz-curved-monitor-mpg-321curx-qd-oled,1144.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
Dell E2020H,https://pcpartpicker.com/product/tFMTwP/dell-e2020h-195-1600x900-60-hz-monitor-dell-e2020h,94.13,19.5,"1600,900",60,5,TN,16:9
MSI MAG 271QPX QD-OLED E2,https://pcpartpicker.com/product/BR7scf/msi-mag-271qpx-qd-oled-e2-265-2560-x-1440-240-hz-monitor-mag-271qpx-qd-oled-e2,796.45,26.5,"2560,1440",240,0.03,QD-OLED,16:9
LG 27GL83A-B,https://pcpartpicker.com/product/wXRgXL/lg-27gl83a-b-270-2560-x-1440-144-hz-monitor-27gl83a-b,229.99,27,"2560,1440",144,1,IPS,16:9
ViewSonic ELITE XG321UG,https://pcpartpicker.com/product/GMcgXL/viewsonic-elite-xg321ug-320-3840-x-2160-144-hz-monitor-xg321ug,5124.98,32,"3840,2160",144,3,IPS,16:9
MSI MPG 271QRX QD-OLED,https://pcpartpicker.com/product/rCn9TW/msi-mpg-271qrx-qd-oled-270-2560-x-1440-360-hz-monitor-mpg-271qrx-qd-oled,682.99,27,"2560,1440",360,0.03,QD-OLED,16:9
MSI MAG 272URDF E16,https://pcpartpicker.com/product/NB7MnQ/msi-mag-272urdf-e16-270-3840-x-2160-160-hz-monitor-mag-272urdf-e16,299.99,27,"3840,2160",160,0.5,IPS,16:9
Asus TUF Gaming VG27AQML1A,https://pcpartpicker.com/product/WQfxFT/asus-tuf-gaming-vg27aqml1a-270-2560-x-1440-260-hz-monitor-tuf-gaming-vg27aqml1a,369,27,"2560,1440",260,1,IPS,16:9
Asus ProArt Display PA32UCG-K,https://pcpartpicker.com/product/TgQcCJ/asus-proart-display-pa32ucg-k-320-3840x2160-120-hz-monitor-90lm03h0-b083b0,59199,32,"3840,2160",120,5,IPS,16:9
Asus VG248QG,https://pcpartpicker.com/product/hy4BD3/asus-vg248qg-240-1920x1080-165-hz-monitor-vg248qg,179,24,"1920,1080",165,0.5,TN,16:9
Dell Alienware AW2725DM,https://pcpartpicker.com/product/JPKnTW/dell-alienware-aw2725dm-270-2560-x-1440-180-hz-monitor-aw2725dm,263.99,27,"2560,1440",180,1,IPS,16:9
Asus TUF Gaming VG27AQ5A,https://pcpartpicker.com/product/v8sMnQ/asus-tuf-gaming-vg27aq5a-270-2560-x-1440-210-hz-monitor-vg27aq5a,231,27,"2560,1440",210,1,IPS,16:9
Samsung Odyssey OLED G61SD,https://pcpartpicker.com/product/2sJBD3/samsung-odyssey-oled-g61sd-270-2560-x-1440-240-hz-monitor-ls27dg610snxza,649.99,27,"2560,1440",240,0.03,QD-OLED,16:9
Acer Nitro EDA270U P,https://pcpartpicker.com/product/rKtLrH/acer-nitro-eda270u-p-270-2560-x-1440-170-hz-curved-monitor-umhe0aap09,202.99,27,"2560,1440",170,,VA,16:9
MSI MPG 321URX QD-OLED,https://pcpartpicker.com/product/xgxxFT/msi-mpg-321urx-qd-oled-315-3840-x-2160-240-hz-monitor-mpg-321urx-qd-oled,996.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
AOC 27G4XE,https://pcpartpicker.com/product/WwsV3C/aoc-27g4xe-270-1980-x-1080-180-hz-monitor-27g4xe,,27,"1980,1080",180,0.5,IPS,11:6
BenQ GW2490,https://pcpartpicker.com/product/VzNscf/benq-gw2490-238-1920-x-1080-100-hz-monitor-gw2490,129.99,23.8,"1920,1080",100,5,IPS,16:9
LG 27GP850-B,https://pcpartpicker.com/product/WWcG3C/lg-27gp850-b-270-2560x1440-165-hz-monitor-27gp850-b,457.99,27,"2560,1440",165,1,IPS,16:9
Philips Evnia 8000 27M2N8500,https://pcpartpicker.com/product/hKZWGX/philips-evnia-8000-27m2n8500-265-2560-x-1440-360-hz-monitor-27m2n850027,640.79,26.5,"2560,1440",360,0.03,QD-OLED,16:9
Xiaomi G Pro 27i,https://pcpartpicker.com/product/rKG2FT/xiaomi-g-pro-27i-270-2560-x-1440-180-hz-monitor-p27qba-rgpgl,,27,"2560,1440",180,,IPS Mini LED,16:9
Samsung Odyssey OLED G93SD,https://pcpartpicker.com/product/xrfV3C/samsung-odyssey-oled-g93sd-490-5120-x-1440-240-hz-curved-monitor-ls49dg934snxgo,9499.99,49,"5120,1440",240,0.03,QD-OLED,32:9
Acer XV270U Z1bmiiprx,https://pcpartpicker.com/product/fyRnTW/acer-xv270u-z1bmiiprx-270-2560-x-1440-270-hz-monitor-umhx0aa101,199.99,27,"2560,1440",270,0.5,IPS,16:9
LG UltraGear 32GS95UV-B,https://pcpartpicker.com/product/hK4Pxr/lg-ultragear-32gs95uv-b-315-3840-x-2160-240-hz-monitor-32gs95uv-b,10631.16,31.5,"3840,2160",240,0.03,OLED,16:9
Dell Alienware AW2725D,https://pcpartpicker.com/product/f6KnTW/dell-alienware-aw2725d-267-2560-x-1440-280-hz-monitor-aw2725d,521.99,26.7,"2560,1440",280,0.03,QD-OLED,16:9
ASRock PG27QFT2A,https://pcpartpicker.com/product/N2cgXL/asrock-pg27qft2a-270-2560-x-1440-180-hz-monitor-pg27qft2a,164.77,27,"2560,1440",180,,IPS,16:9
Samsung Odyssey OLED G95SC,https://pcpartpicker.com/product/pn26Mp/samsung-odyssey-oled-g95sc-490-5120-x-1440-240-hz-curved-monitor-ls49cg954snxza,879.99,49,"5120,1440",240,,QD-OLED,32:9
Asus ROG Strix XG27UCS,https://pcpartpicker.com/product/Nhkqqs/asus-rog-strix-xg27ucs-270-3840-x-2160-160-hz-monitor-90lm09s0-b011b0,397,27,"3840,2160",160,1,IPS,16:9
Asus ROG Strix XG27ACG,https://pcpartpicker.com/product/tFG2FT/asus-rog-strix-xg27acg-270-2560-x-1440-180-hz-monitor-90lm0a70-b013b0,289,27,"2560,1440",180,1,IPS,16:9
Samsung Odyssey OLED G81SF,https://pcpartpicker.com/product/nQ9nTW/samsung-odyssey-oled-g81sf-320-3840-x-2160-240-hz-monitor-ls32fg810snxza,1201.99,32,"3840,2160",240,0.03,QD-OLED,16:9
Asus ROG Strix OLED XG32UCDS,https://pcpartpicker.com/product/RMDnTW/asus-rog-strix-oled-xg32ucds-315-3840-x-2160-165-hz-monitor-xg32ucds,749,31.5,"3840,2160",165,0.03,QD-OLED,16:9
MSI Optix MAG342CQR,https://pcpartpicker.com/product/9GmFf7/msi-optix-mag342cqr-340-3440x1440-144-hz-monitor-optix-mag342cqr,175,34,"3440,1440",144,,VA,21:9
Asus TUF Gaming VG32WQ3B,https://pcpartpicker.com/product/9bpD4D/asus-tuf-gaming-vg32wq3b-315-2560-x-1440-180-hz-curved-monitor-vg32wq3b,199,31.5,"2560,1440",180,1,VA,16:9
ASRock Phantom Gaming PG27FFX2A,https://pcpartpicker.com/product/cWDnTW/asrock-phantom-gaming-pg27ffx2a-270-1920-x-1080-520-hz-monitor-pg27ffx2a,267.99,27,"1920,1080",520,1,IPS,16:9
Samsung Odyssey OLED G85SD,https://pcpartpicker.com/product/RrJp99/samsung-odyssey-oled-g85sd-340-3440-x-1440-175-hz-curved-monitor-ls34dg856snxza,925,34,"3440,1440",175,0.03,OLED,21:9
MSI MPG 321URXW QD-OLED,https://pcpartpicker.com/product/nxgZxr/msi-mpg-321urxw-qd-oled-315-3840-x-2160-240-hz-monitor-mpg-321urxw-qd-oled,931.99,31.5,"3840,2160",240,0.03,QD-OLED,16:9
AOC C32G2ZE/BK,https://pcpartpicker.com/product/zGkWGX/aoc-c32g2zebk-315-1920x1080-240-hz-monitor-c32g2zebk,241.99,31.5,"1920,1080",240,,VA,16:9
INNOCN 25G2S,https://pcpartpicker.com/product/X98Pxr/innocn-25g2s-245-2560-x-1440-240-hz-monitor-25g2s,177.99,24.5,"2560,1440",240,,IPS,16:9
Alienware AW2725Q,https://pcpartpicker.com/product/yjG2FT/alienware-aw2725q-267-3840-x-2160-240-hz-monitor-aw2725q,825.99,26.7,"3840,2160",240,0.03,QD-OLED,16:9
Samsung Odyssey G3,https://pcpartpicker.com/product/gfGbt6/samsung-odyssey-g3-240-1920x1080-144-hz-monitor-ls24ag302nnxza,234.99,24,"1920,1080",144,,VA,16:9
MSI PRO MP251W E2,https://pcpartpicker.com/product/rTFCmG/msi-pro-mp251w-e2-245-1920-x-1080-120-hz-monitor-pro-mp251w-e2,132.99,24.5,"1920,1080",120,4,IPS,16:9
