name,part_url,color,cas_latency,manufacturer,part_number,form_factor,is_ecc,is_registered,modules_count,modules_size,memory_type,frequency
G.Skill Ripjaws S5 96 GB,https://pcpartpicker.com/product/jn26Mp/gskill-ripjaws-s5-96-gb-2-x-48-gb-ddr5-6400-cl32-memory-f5-6400j3239f48gx2-rs5k,Black,32.0,G.Skill,F5-6400J3239F48GX2-RS5K,288-pin DIMM (DDR5),False,False,2,48,DDR5,6400.0
Corsair Vengeance RGB Pro 64 GB,https://pcpartpicker.com/product/9jsnTW/corsair-vengeance-rgb-pro-64-gb-4-x-16-gb-ddr4-3200-memory-cmw64gx4m4e3200c16,Black,16.0,Corsair,CMW64GX4M4E3200C16,288-pin DIMM (DDR4),False,False,4,16,DDR4,3200.0
TEAMGROUP T-Force Vulcan Z 16 GB,https://pcpartpicker.com/product/gCXJ7P/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-tlzrd416g3200hc16fdc01,Red,16.0,TEAMGROUP,TLZRD416G3200HC16FDC01,288-pin DIMM (DDR4),False,False,2,8,DDR4,3200.0
G.Skill Trident Z5 RGB 96 GB,https://pcpartpicker.com/product/xb26Mp/gskill-trident-z5-rgb-96-gb-2-x-48-gb-ddr5-6800-cl34-memory-f5-6800j3446f48gx2-tz5rk,Black,34.0,G.Skill,F5-6800J3446F48GX2-TZ5RK,288-pin DIMM (DDR5),False,False,2,48,DDR5,6800.0
Silicon Power XPOWER Pulse Gaming 32 GB,https://pcpartpicker.com/product/7fG2FT/silicon-power-xpower-pulse-gaming-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-sp032gxlwu60ffdj,Black,36.0,Silicon Power,SP032GXLWU60FFDJ|SU032GXLWU60FFDJEC,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
TEAMGROUP T-Force Vulcan 32 GB,https://pcpartpicker.com/product/kgwmP6/teamgroup-t-force-vulcan-32-gb-2-x-16-gb-ddr5-6000-cl38-memory-flbd532g6000hc38adc01,Black,38.0,TEAMGROUP,FLBD532G6000HC38ADC01,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Corsair Vengeance LPX 8 GB,https://pcpartpicker.com/product/xxsnTW/corsair-vengeance-lpx-8-gb-1-x-8-gb-ddr4-3200-memory-cmk8gx4m1e3200c16,Black / Yellow,16.0,Corsair,CMK8GX4M1E3200C16,288-pin DIMM (DDR4),False,False,1,8,DDR4,3200.0
Patriot Signature Premium 16 GB,https://pcpartpicker.com/product/ctgQzy/patriot-signature-premium-16-gb-2-x-8-gb-ddr4-2666-memory-psp416g2666kh1,Black,19.0,Patriot,PSP416G2666KH1,288-pin DIMM (DDR4),False,False,2,8,DDR4,2666.0
Lexar THOR 16 GB,https://pcpartpicker.com/product/BCFmP6/lexar-thor-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-ld4bu008g-r3200gdxg,Black,16.0,Lexar,LD4BU008G-R3200GDXG,288-pin DIMM (DDR4),False,False,2,8,DDR4,3200.0
Klevv CRAS V RGB 32 GB,https://pcpartpicker.com/product/XsMMnQ/klevv-cras-v-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-kd5agua80-60a300g,Black,30.0,Klevv,KD5AGUA80-60A300G,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
G.Skill Flare X5 128 GB,https://pcpartpicker.com/product/TwCCmG/gskill-flare-x5-128-gb-2-x-64-gb-ddr5-6000-cl36-memory-f5-6000j3644d64gx2-fx5,Black,36.0,G.Skill,F5-6000J3644D64GX2-FX5,288-pin DIMM (DDR5),False,False,2,64,DDR5,6000.0
G.Skill Aegis 8 GB,https://pcpartpicker.com/product/XJYWGX/gskill-aegis-8-gb-1-x-8-gb-ddr4-3000-cl16-memory-f4-3000c16s-8gisb,Black / Red,16.0,G.Skill,F4-3000C16S-8GISB,288-pin DIMM (DDR4),False,False,1,8,DDR4,3000.0
G.Skill Ripjaws S5 32 GB,https://pcpartpicker.com/product/x4VmP6/gskill-ripjaws-s5-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-f5-6000j3040f16gx2-rs5k,Black,30.0,G.Skill,F5-6000J3040F16GX2-RS5K,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
Patriot Viper Elite II 16 GB,https://pcpartpicker.com/product/gH3gXL/patriot-viper-elite-ii-16-gb-1-x-16-gb-ddr4-2666-cl16-memory-pve2416g266c6,Red / Black,16.0,Patriot,PVE2416G266C6,288-pin DIMM (DDR4),False,False,1,16,DDR4,2666.0
Corsair Vengeance RGB Pro SL 32 GB,https://pcpartpicker.com/product/D8FKHx/corsair-vengeance-rgb-pro-sl-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-cmh32gx4m2e3200c16,Black,16.0,Corsair,CMH32GX4M2E3200C16,288-pin DIMM (DDR4),False,False,2,16,DDR4,3200.0
Kingston FURY Beast 64 GB,https://pcpartpicker.com/product/8r6NnQ/kingston-fury-beast-64-gb-2-x-32-gb-ddr5-6000-cl36-memory-kf560c36bbek2-64,Black / Silver,36.0,Kingston,KF560C36BBEK2-64,288-pin DIMM (DDR5),False,False,2,32,DDR5,6000.0
G.Skill Trident Z5 Neo RGB 32 GB,https://pcpartpicker.com/product/T9hv6h/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-6400-cl30-memory-f5-6400j3039g16gx2-tz5nr,Black,30.0,G.Skill,F5-6400J3039G16GX2-TZ5NR,288-pin DIMM (DDR5),False,False,2,16,DDR5,6400.0
G.Skill Trident Z5 Neo RGB 32 GB,https://pcpartpicker.com/product/ZmYRsY/gskill-trident-z5-neo-rgb-32-gb-2-x-16-gb-ddr5-8000-cl38-memory-f5-8000j3848h16gx2-tz5nr,Black,38.0,G.Skill,F5-8000J3848H16GX2-TZ5NR,288-pin DIMM (DDR5),False,False,2,16,DDR5,8000.0
PNY XLR8 Gaming 32 GB,https://pcpartpicker.com/product/dVgZxr/pny-xlr8-gaming-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-md32gk2d5600036xr,Black / Red,36.0,PNY,MD32GK2D5600036XR,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
G.Skill Trident Z5 Neo RGB 64 GB,https://pcpartpicker.com/product/cJBFf7/gskill-trident-z5-neo-rgb-64-gb-2-x-32-gb-ddr5-6000-cl26-memory-f5-6000j2636h32gx2-tz5nrw,White / Black,26.0,G.Skill,F5-6000J2636H32GX2-TZ5NRW,288-pin DIMM (DDR5),False,False,2,32,DDR5,6000.0
Kingston ValueRAM 1 GB,https://pcpartpicker.com/product/j4W9TW/kingston-memory-kvr667d21gr,Green,5.0,Kingston,KVR667D2/1GR,240-pin DIMM (DDR2),False,False,1,1,DDR2,667.0
Klevv BOLT X 32 GB,https://pcpartpicker.com/product/FKKKHx/klevv-bolt-x-32-gb-2-x-16-gb-ddr4-3600-cl18-memory-kd4agu880-36a180u,Black,18.0,Klevv,KD4AGU880-36A180U,288-pin DIMM (DDR4),False,False,2,16,DDR4,3600.0
TEAMGROUP T-Force Vulcan Z 16 GB,https://pcpartpicker.com/product/6wGxFT/team-t-force-vulcan-z-16-gb-2-x-8-gb-ddr4-3000-memory-tlzgd416g3000hc16cdc01,Silver / Black,16.0,TEAMGROUP,TLZGD416G3000HC16CDC01,288-pin DIMM (DDR4),False,False,2,8,DDR4,3000.0
Timetec PREMIUM 32 GB,https://pcpartpicker.com/product/kPLp99/timetec-premium-32-gb-2-x-16-gb-ddr4-2133-cl15-memory-75tt21nu2r8-16gk2,Black,15.0,Timetec,75TT21NU2R8-16GK2,288-pin DIMM (DDR4),False,False,2,16,DDR4,2133.0
G.Skill Trident Z5 Royal Neo RGB 32 GB,https://pcpartpicker.com/product/XwRwrH/gskill-trident-z5-royal-neo-rgb-32-gb-2-x-16-gb-ddr5-6400-cl30-memory-f5-6400j3039g16gx2-tr5ns,Silver,30.0,G.Skill,F5-6400J3039G16GX2-TR5NS,288-pin DIMM (DDR5),False,False,2,16,DDR5,6400.0
Crucial CT2K16G4RFD4213 32 GB,https://pcpartpicker.com/product/JtXfrH/crucial-memory-ct2k16g4rfd4213,Green,15.0,Crucial,CT2K16G4RFD4213,288-pin DIMM (DDR4),True,True,2,16,DDR4,2133.0
Corsair Vengeance RGB 32 GB,https://pcpartpicker.com/product/LWtLrH/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-cmh32gx5m2b6000c30,Black / Gray,30.0,Corsair,CMH32GX5M2B6000C30,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
TEAMGROUP Elite 16 GB,https://pcpartpicker.com/product/Y4LFf7/teamgroup-elite-16-gb-1-x-16-gb-ddr5-5600-cl46-memory-ted516g5600c4601,Black,46.0,TEAMGROUP,TED516G5600C4601,288-pin DIMM (DDR5),False,False,1,16,DDR5,5600.0
PNY XLR8 Gaming EPIC-X RGB 8 GB,https://pcpartpicker.com/product/gNrYcf/pny-xlr8-gaming-epic-x-rgb-8-gb-1-x-8-gb-ddr4-3200-cl16-memory-md8gd4320016xrgb,Black,16.0,PNY,MD8GD4320016XRGB,288-pin DIMM (DDR4),False,False,1,8,DDR4,3200.0
G.Skill Trident Z5 Neo RGB 96 GB,https://pcpartpicker.com/product/Qpm2FT/gskill-trident-z5-neo-rgb-96-gb-2-x-48-gb-ddr5-6000-cl26-memory-f5-6000j2636h48gx2-tz5nr,Black,26.0,G.Skill,F5-6000J2636H48GX2-TZ5NR,288-pin DIMM (DDR5),False,False,2,48,DDR5,6000.0
Crucial Ballistix 1 GB,https://pcpartpicker.com/product/LV8Zxr/crucial-memory-bl12864aa106a,Green,5.0,Crucial,BL12864AA106A,240-pin DIMM (DDR2),False,False,1,1,DDR2,1066.0
TEAMGROUP Elite 32 GB,https://pcpartpicker.com/product/Wxwypg/teamgroup-elite-32-gb-1-x-32-gb-ddr5-4800-cl40-memory-ted532g4800c4001,Black,40.0,TEAMGROUP,TED532G4800C4001,288-pin DIMM (DDR5),False,False,1,32,DDR5,4800.0
Crucial CT2K64G56C46U5 128 GB,https://pcpartpicker.com/product/4QdMnQ/crucial-ct2k64g56c46u5-128-gb-2-x-64-gb-ddr5-5600-cl46-memory-ct2k64g56c46u5,Black,46.0,Crucial,CT2K64G56C46U5,288-pin DIMM (DDR5),False,False,2,64,DDR5,5600.0
Biwin Black Opal DW100 RGB 32 GB,https://pcpartpicker.com/product/KQPv6h/biwin-black-opal-dw100-rgb-32-gb-2-x-16-gb-ddr5-6000-cl30-memory-b5dw100326030er2g-cb001,Black,30.0,Biwin,B5DW100326030ER2G-CB001,288-pin DIMM (DDR5),False,False,2,16,DDR5,6000.0
G.Skill Trident Z RGB 8 GB,https://pcpartpicker.com/product/7DLFf7/gskill-trident-z-rgb-8-gb-1-x-8-gb-ddr4-3200-cl16-memory-f4-3200c16s-8gtzr,Black,16.0,G.Skill,F4-3200C16S-8GTZR,288-pin DIMM (DDR4),False,False,1,8,DDR4,3200.0
Kingston FURY Beast RGB 32 GB,https://pcpartpicker.com/product/Yr3NnQ/kingston-fury-beast-rgb-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-kf564c32bbeak2-32,Black,32.0,Kingston,KF564C32BBEAK2-32,288-pin DIMM (DDR5),False,False,2,16,DDR5,6400.0
