name,part_url,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,manufacturer,part_number,socket,max_memory,ecc_support
AMD Ryzen 5 2600,https://pcpartpicker.com/product/6Nvqqs/amd-ryzen-5-2600-34-ghz-6-core-oemtray-processor-yd2600bbm6iaf,6,3.4,3.9,Zen+,65,,AMD,YD2600BBM6IAF,AM4,64.0,False
AMD Ryzen 7 3800X,https://pcpartpicker.com/product/gryV3C/amd-ryzen-7-3800x-39-ghz-8-core-oemtray-processor-100-000000025,8,3.9,4.5,Zen 2,105,,AMD,100-000000025,AM4,128.0,False
Intel Core i7-7820X,https://pcpartpicker.com/product/C2dFf7/intel-i7-7820x-36ghz-8-core-processor-bx80673i77820x,8,3.6,4.5,Skylake,140,,Intel,BX80673I77820X,LGA2066,128.0,False
AMD Ryzen 5 2600X,https://pcpartpicker.com/product/KTtKHx/amd-ryzen-5-2600x-36-ghz-6-core-oemtray-processor-yd260xbcm6iaf,6,3.6,4.2,Zen+,95,,AMD,YD260XBCM6IAF,AM4,64.0,False
Intel Core i7-9700K,https://pcpartpicker.com/product/6DVD4D/intel-core-i7-9700k-36ghz-8-core-oemtray-processor-cm8068403874212,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630,Intel,CM8068403874212,LGA1151,128.0,False
Intel Core i3-3220,https://pcpartpicker.com/product/dZphP6/intel-cpu-bx80637i33220,2,3.3,,Ivy Bridge,55,Intel HD Graphics 2500,Intel,BX80637I33220,LGA1155,,True
AMD Ryzen 5 5600XT,https://pcpartpicker.com/product/MQCZxr/amd-ryzen-5-5600xt-37-ghz-6-core-oemtray-processor-100-000001585,6,3.7,4.7,Zen 3,65,,AMD,100-000001585,AM4,128.0,True
Intel Core i9-9900,https://pcpartpicker.com/product/GWMwrH/intel-core-i9-9900-31-ghz-8-core-processor-bx80684i99900,8,3.1,5.0,Coffee Lake Refresh,65,Intel UHD Graphics 630,Intel,BX80684I99900,LGA1151,128.0,False
Intel Xeon E5-2683 V4,https://pcpartpicker.com/product/B2mxFT/intel-cpu-cm8066002023604,16,2.1,3.0,Broadwell,120,,Intel,CM8066002023604,LGA2011-3,1536.0,True
Intel Core i5-4570T,https://pcpartpicker.com/product/PhM323/intel-cpu-bx80646i54570t,2,2.9,,Haswell,35,Intel HD Graphics 4600,Intel,BX80646I54570T,LGA1150,,False
Intel Core i7-920,https://pcpartpicker.com/product/tzrG3C/intel-cpu-bx80601920,4,2.66,,Nehalem,130,,Intel,BX80601920,LGA1366,,False
AMD Ryzen 9 3950X,https://pcpartpicker.com/product/zsxbt6/amd-ryzen-9-3950x-35-ghz-16-core-oemtray-processor-100-000000051,16,3.5,4.7,Zen 2,105,,AMD,100-000000051,AM4,128.0,False
Intel Core i3-10320,https://pcpartpicker.com/product/tZPgXL/intel-core-i3-10320-38-ghz-quad-core-processor-bx8070110320,4,3.8,4.6,Comet Lake,65,Intel UHD Graphics 630,Intel,BX8070110320,LGA1200,128.0,False
Intel Core i9-9900K (Standard Folding Box),https://pcpartpicker.com/product/8jdrxr/intel-core-i9-9900k-36-ghz-8-core-processor-bx806849900k,8,3.6,5.0,Coffee Lake Refresh,95,Intel UHD Graphics 630,Intel,BX806849900K,LGA1151,128.0,False
Intel Core i5-3570,https://pcpartpicker.com/product/dVV48d/intel-cpu-bx80637i53570,4,3.4,,Ivy Bridge,77,Intel HD Graphics 2500,Intel,BX80637i53570,LGA1155,,False
Intel Core i5-14500T,https://pcpartpicker.com/product/dYV2FT/intel-core-i5-14500t-17-ghz-14-core-oemtray-processor-cm8071505092904,14,1.7,4.8,Raptor Lake Refresh,35,Intel UHD Graphics 770,Intel,CM8071505092904,LGA1700,192.0,True
AMD Phenom II X4 820,https://pcpartpicker.com/product/8g7wrH/amd-cpu-hdx820wfk4fgi,4,2.8,,K10,95,,AMD,HDX820WFK4FGI,AM3,,False
Intel Core i9-9820X,https://pcpartpicker.com/product/YG448d/intel-core-i9-9820x-33-ghz-10-core-processor-bx80673i99820x,10,3.3,4.1,Skylake,165,,Intel,BX80673I99820X,LGA2066,128.0,False
AMD Ryzen 3 1300X,https://pcpartpicker.com/product/Zk2rxr/amd-ryzen-3-1300x-35ghz-quad-core-processor-yd130xbbaebox,4,3.5,3.7,Zen,65,,AMD,YD130XBBAEBOX,AM4,,False
AMD FX-4350,https://pcpartpicker.com/product/pQphP6/amd-cpu-fd4350frhkbox,4,4.2,,Piledriver,125,,AMD,FD4350FRHKBOX,AM3+,,False
Intel Core i5-13500T,https://pcpartpicker.com/product/TsbTwP/intel-core-i5-13500t-16-ghz-14-core-oemtray-processor-cm8071505092901,14,1.6,4.6,Raptor Lake,35,Intel UHD Graphics 770,Intel,CM8071505092901,LGA1700,192.0,False
Intel Core i9-13900T,https://pcpartpicker.com/product/Y4Fbt6/intel-core-i9-13900t-11-ghz-24-core-oemtray-processor-cm8071504820403,24,1.1,5.3,Raptor Lake,35,Intel UHD Graphics 770,Intel,CM8071504820403,LGA1700,192.0,True
Intel Xeon E5-2697 V2,https://pcpartpicker.com/product/prTmP6/intel-cpu-bx80635e52697v2,12,2.7,3.5,Ivy Bridge,130,,Intel,BX80635E52697V2,LGA2011,,True
Intel Core i7-950,https://pcpartpicker.com/product/3LNp99/intel-cpu-bx80601950,4,3.06,,Nehalem,130,,Intel,BX80601950,LGA1366,,False
Intel Xeon E5-2680,https://pcpartpicker.com/product/bQrG3C/intel-cpu-bx80621e52680,8,2.7,3.5,Sandy Bridge,130,,Intel,BX80621E52680,LGA2011,,True
Intel Core i5-10600,https://pcpartpicker.com/product/hftKHx/intel-core-i5-10600-33-ghz-6-core-processor-bx8070110600,6,3.3,4.8,Comet Lake,65,Intel UHD Graphics 630,Intel,BX8070110600,LGA1200,128.0,False
AMD EPYC 4364P,https://pcpartpicker.com/product/vchv6h/amd-epyc-4364p-45-ghz-8-core-processor-100-100001477wof,8,4.5,5.4,Zen 4,105,Radeon,AMD,100-100001477WOF,AM5,,True
Intel Core i3-2100,https://pcpartpicker.com/product/8Bn2FT/intel-cpu-bx80623i32100,2,3.1,,Sandy Bridge,65,Intel HD Graphics 2000,Intel,BX80623I32100,LGA1155,,False
Intel Core i7-7700,https://pcpartpicker.com/product/RPhj4D/intel-core-i7-7700-36ghz-quad-core-oemtray-processor-cm8067702868314,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630,Intel,CM8067702868314,LGA1151,64.0,False
AMD Ryzen 5 3600X,https://pcpartpicker.com/product/FCprxr/amd-ryzen-5-3600x-38-thz-6-core-oemtray-processor-100-000000022,6,3.8,4.4,Zen 2,95,,AMD,100-000000022,AM4,128.0,False
AMD A8-7600,https://pcpartpicker.com/product/nqYXsY/amd-cpu-ad7600ybjabox,4,3.1,3.8,Steamroller,65,Radeon R7 (on-die),AMD,AD7600YBJABOX,FM2+,,False
Intel Core i7-6700K,https://pcpartpicker.com/product/Fcqbt6/intel-cpu-cm8066201919901,4,4.0,4.2,Skylake,91,Intel HD Graphics 530,Intel,CM8066201919901,LGA1151,64.0,False
Intel Core i7-9700,https://pcpartpicker.com/product/sXsnTW/intel-core-i7-9700-3-ghz-8-core-oemtray-processor-cm8068403874521,8,3.0,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630,Intel,CM8068403874521,LGA1151,128.0,False
Intel Core i5-2500,https://pcpartpicker.com/product/ZyPfrH/intel-cpu-bx80623i52500,4,3.3,,Sandy Bridge,95,Intel HD Graphics 2000,Intel,BX80623I52500,LGA1155,,False
AMD Threadripper 2990WX,https://pcpartpicker.com/product/zXNv6h/amd-threadripper-2990wx-3ghz-32-core-processor-yd299xazafwof,32,3.0,4.2,Zen+,250,,AMD,YD299XAZAFWOF,sTR4,1024.0,True
Intel Celeron G3900,https://pcpartpicker.com/product/x78H99/intel-cpu-cm8066201928610,2,2.8,,Skylake,51,Intel HD Graphics 510,Intel,CM8066201928610,LGA1151,64.0,True
Intel Core i7-2700K,https://pcpartpicker.com/product/CNCwrH/intel-cpu-bx80623i72700k,4,3.5,,Sandy Bridge,95,Intel HD Graphics 3000,Intel,BX80623i72700K,LGA1155,,False
Intel Core i9-7920X,https://pcpartpicker.com/product/x3648d/intel-core-i9-7920x-29ghz-12-core-processor-bx80673i97920x,12,2.9,4.4,Skylake,140,,Intel,BX80673I97920X,LGA2066,128.0,False
AMD Ryzen 5 5600T,https://pcpartpicker.com/product/DVqrxr/amd-ryzen-5-5600t-35-ghz-6-core-oemtray-processor-100-000001584,6,3.5,4.5,Zen 3,65,,AMD,100-000001584,AM4,128.0,True
Intel Core i7-7700T,https://pcpartpicker.com/product/wZPzK8/intel-core-i7-7700t-29ghz-quad-core-oemtray-processor-cm8067702868416,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630,Intel,CM8067702868416,LGA1151,64.0,False
Intel Xeon E5-2630 V4,https://pcpartpicker.com/product/dKp323/intel-cpu-bx80660e52630v4,10,2.2,3.1,Broadwell,85,,Intel,BX80660E52630V4,LGA2011-3,1536.0,True
Intel Core i5-8400T,https://pcpartpicker.com/product/4mF48d/intel-core-i5-8400t-17ghz-6-core-oemtray-processor-cm8068403358913,6,1.7,3.3,Coffee Lake,35,Intel UHD Graphics 630,Intel,CM8068403358913,LGA1151,128.0,False
Intel Core i7-6700,https://pcpartpicker.com/product/9gJkcf/intel-cpu-cm8066201920103,4,3.4,4.0,Skylake,65,Intel HD Graphics 530,Intel,CM8066201920103,LGA1151,64.0,False
AMD Ryzen 9 3900,https://pcpartpicker.com/product/KnbCmG/amd-ryzen-9-3900-31-ghz-12-core-oemtray-processor-100-000000070,12,3.1,,Zen 2,65,,AMD,100-000000070,AM4,128.0,False
AMD FX-8350,https://pcpartpicker.com/product/WGPzK8/amd-fx-8350-40ghz-8-core-processor-fd8350frhkhbx,8,4.0,,Piledriver,125,,AMD,FD8350FRHKHBX,AM3+,,False
AMD Ryzen 5 7400,https://pcpartpicker.com/product/GjgZxr/amd-ryzen-5-7400-33-ghz-6-core-oemtray-processor-100-000001900,6,3.3,4.3,Zen 4,65,Radeon,AMD,100-000001900,AM5,128.0,True
AMD Ryzen 3 1200 (12nm),https://pcpartpicker.com/product/Wkyqqs/amd-ryzen-3-1200-12nm-31-ghz-quad-core-processor-yd1200bbafbox,4,3.1,3.4,Zen+,65,,AMD,YD1200BBAFBOX,AM4,,False
Intel Core i5-3330,https://pcpartpicker.com/product/Jcw323/intel-cpu-bx80637i53330,4,3.0,,Ivy Bridge,77,Intel HD Graphics 2500,Intel,BX80637i53330,LGA1155,,False
Intel Xeon E5-2620,https://pcpartpicker.com/product/2Q8Zxr/intel-cpu-cm8063501288301,6,2.0,,Sandy Bridge,95,,Intel,CM8063501288301,LGA2011,,True
AMD Phenom II X4 940 Black,https://pcpartpicker.com/product/Kr8Zxr/amd-cpu-hdz940xcgibox,4,3.0,,K10,125,,AMD,HDZ940XCGIBOX,AM2+,,False
Intel Core i3-12100T,https://pcpartpicker.com/product/9vDQzy/intel-core-i3-12100t-22-ghz-quad-core-oemtray-processor-cm8071504651106,4,2.2,4.1,Alder Lake,35,Intel UHD Graphics 730,Intel,CM8071504651106,LGA1700,128.0,False
AMD Threadripper 1900X,https://pcpartpicker.com/product/BvgPxr/amd-threadripper-1900x-38ghz-8-core-processor-yd190xa8aewof,8,3.8,4.0,Zen,180,,AMD,YD190XA8AEWOF,sTR4,1024.0,True
AMD Ryzen 5 PRO 7645,https://pcpartpicker.com/product/WkwmP6/amd-ryzen-5-pro-7645-38-ghz-6-core-oemtray-processor-100-000000600,6,3.8,5.1,Zen 4,65,Radeon,AMD,100-000000600,AM5,128.0,True
Intel Core i9-11900F,https://pcpartpicker.com/product/RvfnTW/intel-core-i9-11900f-25-ghz-8-core-processor-bx8070811900f,8,2.5,5.2,Rocket Lake,65,,Intel,BX8070811900F,LGA1200,128.0,False
Intel Xeon E3-1230 V2,https://pcpartpicker.com/product/VQrG3C/intel-cpu-bx80637e31230v2,4,3.3,,Ivy Bridge,69,,Intel,BX80637E31230V2,LGA1155,,True
AMD 5350,https://pcpartpicker.com/product/VGsKHx/amd-cpu-ad5350jahmbox,4,2.05,,Jaguar,25,Radeon HD 8400,AMD,AD5350JAHMBOX,AM1,,False
AMD FX-8320E,https://pcpartpicker.com/product/kfrcCJ/amd-cpu-fd832ewmhkbox,8,3.2,4.0,Piledriver,95,,AMD,FD832EWMHKBOX,AM3+,,True
Intel Pentium Gold G6600,https://pcpartpicker.com/product/KwFKHx/intel-pentium-gold-g6600-42-ghz-dual-core-processor-bx80701g6600,2,4.2,,Comet Lake,58,Intel UHD Graphics 630,Intel,BX80701G6600,LGA1200,128.0,False
Intel Xeon E5-2699 V3,https://pcpartpicker.com/product/cPx9TW/intel-cpu-cm8064401739300,18,2.3,3.6,Haswell,145,,Intel,CM8064401739300,LGA2011-3,,True
Intel Xeon E5-2698 V3,https://pcpartpicker.com/product/sBDzK8/intel-cpu-cm8064401609800,16,2.3,3.6,Haswell,135,,Intel,CM8064401609800,LGA2011-3,,True
Intel Core i7-4960X Extreme Edition,https://pcpartpicker.com/product/HFQypg/intel-cpu-bx80633i74960x,6,3.6,4.0,Ivy Bridge,130,,Intel,BX80633I74960X,LGA2011,,False
Intel Core i9-9940X,https://pcpartpicker.com/product/jGZFf7/intel-core-i9-9940x-33-ghz-14-core-processor-bx80673i99940x,14,3.3,4.4,Skylake,165,,Intel,BX80673I99940X,LGA2066,128.0,False
Intel Core i7-7800X,https://pcpartpicker.com/product/sbJkcf/intel-core-i7-7800x-35ghz-6-core-oemtray-processor-cd8067303287002,6,3.5,4.0,Skylake,140,,Intel,CD8067303287002,LGA2066,128.0,False
Intel Celeron G3900,https://pcpartpicker.com/product/kxs8TW/intel-cpu-bx80662g3900,2,2.8,,Skylake,51,Intel HD Graphics 510,Intel,BX80662G3900,LGA1151,64.0,True
Intel Xeon E5-2650 V4,https://pcpartpicker.com/product/DGL7YJ/intel-cpu-bx80660e52650v4,12,2.2,2.9,Broadwell,105,,Intel,BX80660E52650V4,LGA2011-3,1536.0,True
Intel Core i9-11900,https://pcpartpicker.com/product/3y4Ycf/intel-core-i9-11900-25-ghz-8-core-processor-bx8070811900,8,2.5,5.2,Rocket Lake,65,Intel UHD Graphics 750,Intel,BX8070811900,LGA1200,128.0,False
Intel Core i7-3930K,https://pcpartpicker.com/product/XLZQzy/intel-cpu-bx80619i73930k,6,3.2,,Sandy Bridge,130,,Intel,BX80619i73930K,LGA2011,,False
Intel Core i3-4170,https://pcpartpicker.com/product/hYrcCJ/intel-cpu-bx80646i34170,2,3.7,,Haswell Refresh,54,Intel HD Graphics 4400,Intel,BX80646I34170,LGA1150,,True
Intel Celeron 440,https://pcpartpicker.com/product/3Tfp99/intel-cpu-bx80557440,1,2.0,,Core,35,,Intel,BX80557440,LGA775,,False
Intel Core i5-4670,https://pcpartpicker.com/product/CVjG3C/intel-cpu-bx80646i54670,4,3.4,,Haswell,84,Intel HD Graphics 4600,Intel,BX80646I54670,LGA1150,,False
Intel Xeon E5-2690 V4,https://pcpartpicker.com/product/fNcMnQ/intel-cpu-bx80660e52690v4,14,2.6,3.5,Broadwell,135,,Intel,BX80660E52690V4,LGA2011-3,1536.0,True
Intel 300,https://pcpartpicker.com/product/FvkH99/intel-300-39-ghz-dual-core-processor-bx80715300,2,3.9,,Raptor Lake Refresh,46,Intel UHD Graphics 710,Intel,BX80715300,LGA1700,192.0,True
Intel Core i9-7980XE,https://pcpartpicker.com/product/mzzZxr/intel-core-i9-7980xe-26ghz-18-core-oemtray-processor-cd8067303734902,18,2.6,4.4,Skylake,165,,Intel,CD8067303734902,LGA2066,128.0,False
Intel Core i5-9600K,https://pcpartpicker.com/product/bLL48d/intel-core-i5-9600k-37ghz-6-core-oemtray-processor-cm8068403874404,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,Intel,CM8068403874404,LGA1151,128.0,False
Intel Core 2 Quad Q9300,https://pcpartpicker.com/product/MzrG3C/intel-cpu-eu80580pj0606m,4,2.5,,Yorkfield,95,,Intel,EU80580PJ0606M,LGA775,,False
Intel Core i7-5930K,https://pcpartpicker.com/product/zTvRsY/intel-cpu-bx80648i75930k,6,3.5,3.7,Haswell,140,,Intel,BX80648I75930K,LGA2011-3,64.0,False
Intel Xeon E5-2697 V4,https://pcpartpicker.com/product/NKp323/intel-cpu-bx80660e52697v4,18,2.3,3.6,Broadwell,145,,Intel,BX80660E52697V4,LGA2011-3,1536.0,True
Intel Core i9-9980XE,https://pcpartpicker.com/product/Kpw7YJ/intel-core-i9-9980xe-3-thz-18-core-processor-bx80673i99980x,18,3.0,4.4,Skylake,165,,Intel,BX80673I99980X,LGA2066,128.0,False
AMD EPYC 4465P,https://pcpartpicker.com/product/fmJBD3/amd-epyc-4465p-34-ghz-12-core-processor-100-100001558wof,12,3.4,5.4,Zen 5,65,Radeon,AMD,100-100001558WOF,AM5,,True
AMD FX-4300,https://pcpartpicker.com/product/Jbbp99/amd-cpu-fd4300wmhkbox,4,3.8,,Piledriver,95,,AMD,FD4300WMHKBOX,AM3+,,False
AMD Phenom II X6 1090T Black,https://pcpartpicker.com/product/MkZQzy/amd-cpu-hdt90zfbgrbox,6,3.2,,K10,125,,AMD,HDT90ZFBGRBOX,AM3,,False
AMD Athlon II 160u,https://pcpartpicker.com/product/T32rxr/amd-cpu-ad160ueak13gq,1,1.8,,K10,20,,AMD,AD160UEAK13GQ,AM3,,False
Intel Xeon E5-2630 V3,https://pcpartpicker.com/product/JZx9TW/intel-cpu-cm8064401831000,8,2.4,3.2,Haswell,85,,Intel,CM8064401831000,LGA2011-3,,True
Intel Core i7-7740X,https://pcpartpicker.com/product/FJL7YJ/intel-core-i7-7740x-43ghz-quad-core-processor-bx80677i77740x,4,4.3,4.5,Kaby Lake,112,,Intel,BX80677I77740X,LGA2066,64.0,False
Intel Core i3-8100T,https://pcpartpicker.com/product/ftKcCJ/intel-core-i3-8100t-31ghz-quad-core-oemtray-processor-cm8068403377415,4,3.1,,Coffee Lake,35,Intel UHD Graphics 630,Intel,CM8068403377415,LGA1151,64.0,True
Intel Core i7-4770K,https://pcpartpicker.com/product/7p98TW/intel-cpu-bxf80646i74770k,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,Intel,BXF80646I74770K,LGA1150,,False
AMD Ryzen 5 2400G,https://pcpartpicker.com/product/3t7v6h/amd-ryzen-5-2400g-36ghz-quad-core-oemtray-processor-yd2400c5m4mfb,4,3.6,3.9,Zen,65,Radeon Vega 11,AMD,YD2400C5M4MFB,AM4,,False
Intel Xeon E5-2687W,https://pcpartpicker.com/product/7Jckcf/intel-cpu-bx80621e52687w,8,3.1,3.8,Sandy Bridge,150,,Intel,BX80621E52687W,LGA2011,,True
Intel Core i5-750,https://pcpartpicker.com/product/CHFPxr/intel-cpu-bx80605i5750,4,2.66,,Nehalem,95,,Intel,BX80605I5750,LGA1156,,False
Intel Pentium E2220,https://pcpartpicker.com/product/fWsKHx/intel-cpu-bx80557e2220,2,2.4,,Core,65,,Intel,BX80557E2220,LGA775,,False
Intel Core i7-9700F,https://pcpartpicker.com/product/cTwkcf/intel-core-i7-9700f-3-ghz-8-core-oemtray-processor-cm8068403874523,8,3.0,4.7,Coffee Lake Refresh,65,,Intel,CM8068403874523,LGA1151,128.0,False
Intel Core i3-4160,https://pcpartpicker.com/product/XVtCmG/intel-cpu-bx80646i34160,2,3.6,,Haswell Refresh,54,Intel HD Graphics 4400,Intel,BX80646I34160,LGA1150,,True
Intel Pentium E5700,https://pcpartpicker.com/product/MG4gXL/intel-cpu-bx80571e5700,2,3.0,,Wolfdale,65,,Intel,BX80571E5700,LGA775,,False
Intel Core i7-8700T,https://pcpartpicker.com/product/bFKcCJ/intel-core-i7-8700t-24ghz-6-core-oemtray-processor-cm8068403358413,6,2.4,4.0,Coffee Lake,35,Intel UHD Graphics 630,Intel,CM8068403358413,LGA1151,128.0,False
Intel Core i7-6950X,https://pcpartpicker.com/product/MJM323/intel-cpu-bx80671i76950x,10,3.0,3.5,Broadwell,140,,Intel,BX80671I76950X,LGA2011-3,,False
Intel Xeon E5-2698 V4,https://pcpartpicker.com/product/GrDzK8/intel-xeon-e5-2698-v4-22ghz-20-core-oemtray-processor-cm8066002024000,20,2.2,3.6,Broadwell,135,,Intel,CM8066002024000,LGA2011-3,1536.0,True
Intel Core i7-9800X,https://pcpartpicker.com/product/T4VD4D/intel-core-i7-9800x-38-ghz-8-core-processor-bx80673i79800x,8,3.8,4.5,Skylake,165,,Intel,BX80673I79800X,LGA2066,128.0,False
Intel Core i7-4790S,https://pcpartpicker.com/product/YZg323/intel-cpu-bx80646i74790s,4,3.2,4.0,Haswell Refresh,65,Intel HD Graphics 4000,Intel,BX80646I74790S,LGA1150,,False
Intel Core i3-530,https://pcpartpicker.com/product/2Jdqqs/intel-cpu-bx80616i3530,2,2.93,,Westmere,73,Intel HD Graphics,Intel,BX80616I3530,LGA1156,,False
Intel Core i7-4770S,https://pcpartpicker.com/product/cvPfrH/intel-cpu-bx80646i74770s,4,3.1,,Haswell,65,Intel HD Graphics 4600,Intel,BX80646I74770S,LGA1150,,False
Intel Core i7-3820,https://pcpartpicker.com/product/6xzv6h/intel-cpu-bx80619i73820,4,3.6,,Sandy Bridge,130,,Intel,BX80619I73820,LGA2011,,False
Intel Pentium G3258,https://pcpartpicker.com/product/fKCwrH/intel-cpu-bx80646g3258,2,3.2,,Haswell Refresh,53,Intel HD Graphics,Intel,BX80646G3258,LGA1150,,True
Intel Core 2 Extreme QX9770,https://pcpartpicker.com/product/8fLypg/intel-cpu-bx80569qx9770,4,3.2,,Yorkfield,136,,Intel,BX80569QX9770,LGA775,,False
Intel Core i7-4820K,https://pcpartpicker.com/product/t2h9TW/intel-cpu-bx80633i74820k,4,3.7,3.9,Ivy Bridge,130,,Intel,BX80633I74820K,LGA2011,,False
Intel Xeon E5-2640 V4,https://pcpartpicker.com/product/J6rcCJ/intel-cpu-bx80660e52640v4,10,2.4,3.4,Broadwell,90,,Intel,BX80660E52640V4,LGA2011-3,1536.0,True
Intel Core i7-990X Extreme Edition,https://pcpartpicker.com/product/P2ckcf/intel-cpu-bx80613i7990x,6,3.467,,Westmere,130,,Intel,BX80613I7990X,LGA1366,,False
Intel Core i7-6900K,https://pcpartpicker.com/product/NXyxFT/intel-cpu-bx80671i76900k,8,3.2,3.7,Broadwell,140,,Intel,BX80671I76900K,LGA2011-3,128.0,False
Intel Core 2 Quad Q9550,https://pcpartpicker.com/product/hhXfrH/intel-cpu-eu80569pj073n,4,2.83,,Yorkfield,95,,Intel,EU80569PJ073N,LGA775,,False
AMD FX-6100,https://pcpartpicker.com/product/PkMFf7/amd-cpu-fd6100wmgusbx,6,3.3,,Bulldozer,95,,AMD,FD6100WMGUSBX,AM3+,,False
Intel Xeon E5-2697 V3,https://pcpartpicker.com/product/ZcCrxr/intel-cpu-bx80644e52697v3,14,2.6,3.6,Haswell,145,,Intel,BX80644E52697V3,LGA2011-3,,True
AMD Ryzen 7 1700X,https://pcpartpicker.com/product/6Y38TW/amd-ryzen-7-1700x-34ghz-8-core-processor-yd170xbcaempk,8,3.4,3.8,Zen,95,,AMD,YD170XBCAEMPK,AM4,,False
Intel Core 2 Duo E7500,https://pcpartpicker.com/product/dLNp99/intel-cpu-bx80571e7500,2,2.93,,Wolfdale,65,,Intel,BX80571E7500,LGA775,,False
AMD Ryzen 5 5600F,https://pcpartpicker.com/product/Ny3WGX/amd-ryzen-5-5600f-3-ghz-6-core-oemtray-processor-100-000001903,6,3.0,4.0,Zen 3,65,,AMD,100-000001903,AM4,128.0,True
Intel Xeon E5-2683 V4,https://pcpartpicker.com/product/T6rcCJ/intel-cpu-bx80660e52683v4,16,2.1,3.0,Broadwell,120,,Intel,BX80660E52683V4,LGA2011-3,1536.0,True
Intel Core i7-4770K,https://pcpartpicker.com/product/9ttWGX/intel-cpu-cm8064601464206,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,Intel,CM8064601464206,LGA1150,,False
AMD FX-8370,https://pcpartpicker.com/product/2WGj4D/amd-cpu-fd8370frhkbox,8,4.0,4.3,Piledriver,125,,AMD,FD8370FRHKBOX,AM3+,,False
Intel Xeon E3-1270 V3,https://pcpartpicker.com/product/hJh9TW/intel-cpu-bx80646e31270v3,4,3.5,3.9,Haswell,80,,Intel,BX80646E31270V3,LGA1150,,True
Intel Core i5-6400,https://pcpartpicker.com/product/kYH48d/intel-cpu-cm8066201920506,4,2.7,3.3,Skylake,65,Intel HD Graphics 530,Intel,CM8066201920506,LGA1151,64.0,False
Intel Core i7-13700T,https://pcpartpicker.com/product/ZsbTwP/intel-core-i7-13700t-14-ghz-16-core-oemtray-processor-cm8071504820903,16,1.4,4.9,Raptor Lake,35,,Intel,CM8071504820903,LGA1700,192.0,True
AMD EPYC 4464P,https://pcpartpicker.com/product/XNrqqs/amd-epyc-4464p-37-ghz-12-core-processor-100-100001478wof,12,3.7,5.4,Zen 4,65,Radeon,AMD,100-100001478WOF,AM5,,True
Intel Core i7-3970X Extreme Edition,https://pcpartpicker.com/product/spCwrH/intel-cpu-bx80619i73970x,6,3.5,,Sandy Bridge,150,,Intel,BX80619I73970X,LGA2011,,False
Intel Core i3-2120,https://pcpartpicker.com/product/2CXfrH/intel-cpu-bx80623i32120,2,3.3,,Sandy Bridge,65,Intel HD Graphics 2000,Intel,BX80623I32120,LGA1155,,False
Intel Core i5-6500T,https://pcpartpicker.com/product/khgPxr/intel-cpu-bxc80662i56500t,4,2.5,3.1,Skylake,35,Intel HD Graphics 530,Intel,BXC80662I56500T,LGA1151,64.0,False
Intel Xeon E5-2670 V2,https://pcpartpicker.com/product/HRQypg/intel-cpu-bx80635e52670v2,10,2.5,3.3,Ivy Bridge,115,,Intel,BX80635E52670V2,LGA2011,,True
Intel Core i7-860,https://pcpartpicker.com/product/dZmLrH/intel-cpu-bx80605i7860,4,2.8,,Nehalem,95,,Intel,BX80605I7860,LGA1156,,False
Intel Core i7-870,https://pcpartpicker.com/product/XDvRsY/intel-cpu-bx80605i7870,4,2.93,,Nehalem,95,,Intel,BX80605I7870,LGA1156,,False
Intel Core i7-3960X Extreme Edition,https://pcpartpicker.com/product/fMkD4D/intel-cpu-bx80619i73960x,6,3.3,,Sandy Bridge,130,,Intel,BX80619i73960X,LGA2011,,False
AMD A8-9600,https://pcpartpicker.com/product/4ZkwrH/amd-a8-9600-31ghz-quad-core-processor-ad9600agabbox,4,3.1,3.4,Excavator,65,Radeon R7 (on-die),AMD,AD9600AGABBOX,AM4,,False
Intel Core i7-5775C,https://pcpartpicker.com/product/4hgPxr/intel-cpu-bx80658i75775c,4,3.3,3.7,Broadwell,65,Iris Pro Graphics 6200,Intel,BX80658I75775C,LGA1150,,False
Intel Core i9-7960X,https://pcpartpicker.com/product/r87CmG/intel-core-i9-7960x-28ghz-16-core-processor-bx80673i97960x,16,2.8,4.4,Skylake,165,,Intel,BX80673I97960X,LGA2066,128.0,False
Intel Core i7-6700T,https://pcpartpicker.com/product/WV7CmG/intel-cpu-cm8066201920202,4,2.8,3.6,Skylake,35,Intel HD Graphics 530,Intel,CM8066201920202,LGA1151,64.0,False
Intel Core i5-9600,https://pcpartpicker.com/product/bKH8TW/intel-core-i5-9600-31-ghz-6-core-processor-bx80684i59600,6,3.1,4.6,Coffee Lake Refresh,65,Intel UHD Graphics 630,Intel,BX80684I59600,LGA1151,128.0,False
Intel Xeon E5-2660 V3,https://pcpartpicker.com/product/RbtWGX/intel-cpu-cm8064401446117,10,2.6,3.3,Haswell,105,,Intel,CM8064401446117,LGA2011-3,,True
